Part,Subsection,Section,Content
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Protection for essential goods and services,Section 49B,"(1) Subject to subsection (2), an insolvency related clause in any contract for the supply of essential goods and services shall not be exercised against any limited liability partnership. (2) A supplier who wishes to exercise his rights pursuant to an insolvency related clause in a contract shall communicate his intention of preserving his rights under the insolvency related clause to the limited liability partnership in writing at least thirty days before exercising his rights pursuant to the insolvency related clause in accordance with the contract. (3) This section shall not prevent a supplier from exercising his any other rights, including right to payment for essential goods and services provided to a limited liability partnership, under a contract for supply of essential goods and services. (4) For the purposes of this section-(a)  insolvency related clause  means a term of contract which-(i) allows the automatic termination of a contract of essential goods and services or supply of essential goods and services, modification of rights between a supplier and a limited liability partnership under the contract merely because the limited liability partnership becomes subject to the proceedings in relation to a voluntary arrangement or a judicial management; or (ii) allows a supplier to terminate a contract of essential goods and services or supply of essential goods and services, enforce any rights or vary any obligations under a contract merely because the limited liability partnership becomes subject to the proceedings in relation to a voluntary arrangement or a judicial management; (b)  essential goods and services  means essential goods and services specified in the Fourth Schedule. . New section 70A"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New section 70A,Section 8,The principal Act is amended by inserting after section 70 the following section: Time for compliance with the requirements under the Act
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Time for compliance with the requirements under the Act,Section 70A,"If any action or document is required in compliance with this Act and the period for compliance is not prescribed, the time to comply shall be within thirty days from the action or document is required to be complied with. . Substitution of section 76"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Substitution of section 76,Section 9,The principal Act is amended by substituting for section 76 the following section: Service of documents on a limited liability partnership
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Service of documents on a limited liability partnership,Section 76,"A document may be served on a limited liability partnership-(a) by ordinary or registered post to its last known registered office or registered principal place of business, as the case may be; or (b) by electronic means to the address or numbers provided by the limited liability partnership. . New section 76A"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New section 76A,Section 10,The principal Act is amended by inserting after section 76 the following section: Publication or advertisement on website
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Publication or advertisement on website,Section 76A,"Where any information is required to be published or advertised in a newspaper under this Act, any person may, in lieu of publishing or advertising the information in a newspaper, publish or advertise the information on the website of the Commission in the form and manner as the Registrar may determine upon payment of the prescribed fee. . Amendment of section 91"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Amendment of section 91,Section 11,"Subsection 91(1) of the principal Act is amended-(a) by inserting after paragraph (a) the following paragraph: (aa) any person or class of persons who may access the register of beneficial owners or the beneficial ownership information, the manner and the terms and conditions for accessing such register; ; and (b) by inserting after paragraph (b) the following paragraph: (ba) any matters relating to a corporate voluntary arrangement, judicial management, liquidation and receivership; . New Schedule"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,New Schedule,Section 12,The principal Act i s amended by inserting after the Third Schedule the following schedule: FOURTH SCHEDULE (Subsection 49B(4)) TYPES OF ESSENTIAL GOODS AND SERVICES
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,TYPES OF ESSENTIAL GOODS AND SERVICES,Section 1,Supply of water
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 2,Supply of electricity
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 3,Supply of gas
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 4,Point of sales terminals
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 5,Computer hardware and software
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 6,"Information, advice and technical assistance in connection with the use of information technology"
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,use of information technology,Section 7,Data storage and processing
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,,Section 8,Website hosting . Saving
Part III (in so far as they relate to a company limited by shares): of the Companies Act 2016 and the Companies (Corporate,Saving,Section 13,"Any investigation, trial, proceedings or action pending before the date of coming into operation of this Act shall, on the date of coming into operation of this Act, be continued in accordance with the provisions of the principal Act as if the principal Act had not been amended by this Act."
